epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0213,2.34413,4.9817,1.86576,0.00063,0.14286,0.00038,7e-05,1.57078,4.65636,1.5984,0.0006,0.0006,0.0946
2,26.7159,1.75446,4.47942,1.46848,0.00229,0.52381,0.00184,0.00075,1.45749,4.26181,1.38583,0.00128713,0.00128713,0.0882871
3,39.8721,1.4982,3.8331,1.35009,0.00271,0.61905,0.00274,0.00109,1.39367,4.14905,1.29861,0.0019604,0.0019604,0.0819604
4,52.5532,1.49765,3.17999,1.38121,0.00271,0.61905,0.00313,0.00108,1.31075,3.98395,1.30223,0.00261981,0.00261981,0.0756198
5,65.3158,1.66143,2.38982,1.54573,0.00354,0.80952,0.00635,0.00269,1.38087,3.88187,1.33489,0.00326536,0.00326536,0.0692654
6,77.7494,1.63015,2.01881,1.47544,0.00375,0.85714,0.00753,0.00331,1.42772,3.89912,1.27363,0.00389705,0.00389705,0.0628971
7,90.0641,1.72469,2.04748,1.41463,0.00354,0.80952,0.00684,0.00333,1.37413,3.87757,1.30717,0.00451488,0.00451488,0.0565149
8,102.435,1.55207,1.99615,1.38568,0.00375,0.85714,0.00706,0.00387,1.39609,3.77914,1.29609,0.00511885,0.00511885,0.0501188
9,114.684,1.63067,1.98237,1.37088,0.00375,0.85714,0.00895,0.00461,1.23955,3.72283,1.25877,0.00570896,0.00570896,0.043709
10,127.024,2.00507,2.3827,1.58662,0.00417,0.95238,0.01114,0.00485,1.55454,3.88772,1.25763,0.00628521,0.00628521,0.0372852
11,139.358,1.41885,1.79797,1.25886,0.00396,0.90476,0.70532,0.28734,1.56782,3.22077,1.49087,0.0068476,0.0068476,0.0308476
12,151.792,1.73517,2.17478,1.47409,0.00396,0.90476,0.23578,0.11758,1.53314,3.62789,1.67909,0.00739613,0.00739613,0.0243961
13,164.122,1.6182,2.11191,1.40147,1,0.09376,0.74391,0.41656,1.32383,3.05124,1.42062,0.0079308,0.0079308,0.0179308
14,176.326,1.59213,1.90125,1.41158,1,0.09376,0.74391,0.41656,1.32383,3.05124,1.42062,0.00845161,0.00845161,0.0114516
15,189.087,1.64339,1.94731,1.41181,0.47297,0.17246,0.47475,0.25195,1.46306,3.1456,1.54421,0.008614,0.008614,0.008614
16,201.535,1.45664,1.71619,1.27064,0.87538,0.66915,0.84966,0.48686,1.30304,2.44909,1.44274,0.008515,0.008515,0.008515
17,216.234,1.3299,1.75997,1.26676,0.90879,0.52381,0.76511,0.40034,1.44701,2.6489,1.54358,0.008416,0.008416,0.008416
18,231.017,1.43936,1.71222,1.26405,0.87544,0.7619,0.83178,0.42896,1.52713,2.19517,1.54171,0.008317,0.008317,0.008317
19,245.457,1.30348,1.60469,1.19675,0.77761,0.52381,0.68438,0.33416,1.38026,2.55939,1.47624,0.008218,0.008218,0.008218
20,263.392,1.19263,1.7795,1.18187,0.8913,0.78151,0.87992,0.47696,1.46637,2.08137,1.53591,0.008119,0.008119,0.008119
21,280.818,1.19095,1.59682,1.13842,0.89205,0.78762,0.93231,0.39149,1.62352,2.13542,1.55477,0.00802,0.00802,0.00802
22,299.068,1.27903,1.73779,1.12194,0.89205,0.78762,0.93231,0.39149,1.62352,2.13542,1.55477,0.007921,0.007921,0.007921
23,316.521,1.2446,1.53548,1.09523,0.94298,0.78818,0.8367,0.41062,1.52007,1.90978,1.46889,0.007822,0.007822,0.007822
24,334.437,1.23712,1.49654,1.10406,0.87527,0.90476,0.93932,0.36674,1.76934,1.88211,1.64172,0.007723,0.007723,0.007723
25,351.779,1.22542,1.36626,1.02848,0.80575,0.80952,0.79998,0.4089,1.60394,1.81172,1.47255,0.007624,0.007624,0.007624
26,369.397,1.27277,1.46255,1.13423,0.89586,0.90476,0.92769,0.44281,1.52605,1.67768,1.4448,0.007525,0.007525,0.007525
27,385.07,1.27825,1.35512,1.12512,0.88758,0.90476,0.91579,0.44414,1.67996,1.7582,1.49,0.007426,0.007426,0.007426
28,398.871,1.11844,1.29689,1.06172,0.86719,0.7619,0.81542,0.39591,1.64088,1.96444,1.52181,0.007327,0.007327,0.007327
29,412.883,1.26823,1.37002,1.09057,0.98742,0.80952,0.89478,0.48593,1.44664,1.5782,1.32016,0.007228,0.007228,0.007228
30,426.659,1.36012,1.40735,1.14228,0.98742,0.80952,0.89478,0.48593,1.44664,1.5782,1.32016,0.007129,0.007129,0.007129
31,440.244,1.33557,1.28173,1.14119,0.89449,0.80749,0.87755,0.43445,1.68985,1.58456,1.574,0.00703,0.00703,0.00703
32,454.234,1.26197,1.26449,1.11568,0.96258,0.85714,0.91189,0.49537,1.59697,1.63938,1.42756,0.006931,0.006931,0.006931
33,467.964,1.25277,1.25048,1.10967,0.83779,0.7619,0.75202,0.36497,1.9493,1.69934,1.78771,0.006832,0.006832,0.006832
34,482.024,1.20879,1.27324,1.09886,0.93721,0.80952,0.82979,0.47469,1.61594,1.51317,1.55621,0.006733,0.006733,0.006733
35,495.99,1.07112,1.18418,1.09665,0.89396,0.80316,0.82921,0.41235,1.70866,1.48979,1.50428,0.006634,0.006634,0.006634
36,509.444,1.12929,1.1693,1.04899,0.94687,0.84903,0.88226,0.45417,1.46148,1.53499,1.31819,0.006535,0.006535,0.006535
37,521.693,1.17188,1.27551,1.04904,0.80849,0.85714,0.85523,0.43516,1.62603,1.48585,1.41824,0.006436,0.006436,0.006436
38,534.112,1.06432,1.08519,1.03678,0.80849,0.85714,0.85523,0.43516,1.62603,1.48585,1.41824,0.006337,0.006337,0.006337
39,546.573,1.06072,1.11268,1.04373,0.89244,0.85714,0.88544,0.50704,1.44912,1.36922,1.31831,0.006238,0.006238,0.006238
40,559.224,1.08936,1.17936,0.99988,0.99798,0.7619,0.84922,0.44379,1.61713,1.34984,1.47357,0.006139,0.006139,0.006139
41,571.864,1.0751,1.08416,1.01145,0.93942,0.85714,0.8992,0.48198,1.5789,1.35183,1.38108,0.00604,0.00604,0.00604
42,584.944,1.06206,1.07193,1.02782,0.90333,0.8904,0.94643,0.46528,1.4702,1.33264,1.33877,0.005941,0.005941,0.005941
43,599.328,1.0066,1.03367,0.986,0.94947,0.89515,0.94688,0.48186,1.53367,1.35783,1.46101,0.005842,0.005842,0.005842
44,614.469,1.04455,1.01202,1.02454,0.89101,0.85714,0.87136,0.44767,1.63968,1.28249,1.61999,0.005743,0.005743,0.005743
45,632.746,1.03225,0.99654,0.97385,0.928,0.90476,0.95587,0.47992,1.57854,1.22164,1.47869,0.005644,0.005644,0.005644
46,647.779,0.97738,0.95572,0.98201,0.928,0.90476,0.95587,0.47992,1.57854,1.22164,1.47869,0.005545,0.005545,0.005545
47,663.049,0.9612,1.00598,0.9416,0.78073,0.84807,0.82249,0.48817,1.51981,1.20297,1.45195,0.005446,0.005446,0.005446
48,678.518,1.0943,1.00307,0.97831,0.94427,0.90476,0.96005,0.51899,1.61968,1.23962,1.39966,0.005347,0.005347,0.005347
49,693.365,1.01546,0.98352,0.9733,0.94602,0.83511,0.95968,0.48375,1.61548,1.19538,1.48281,0.005248,0.005248,0.005248
50,708.441,1.03984,0.97873,1.0146,0.91045,0.85714,0.88916,0.49836,1.6283,1.15502,1.45962,0.005149,0.005149,0.005149
51,723.574,1.02623,0.97308,0.992,0.94734,0.85668,0.89209,0.45715,1.55426,1.17536,1.47815,0.00505,0.00505,0.00505
52,739.132,0.89133,0.94321,0.96846,0.86689,0.90476,0.91757,0.49247,1.60338,1.15863,1.43098,0.004951,0.004951,0.004951
53,755.441,0.94324,0.9079,0.93733,0.89802,0.90476,0.89137,0.48686,1.58923,1.13544,1.50774,0.004852,0.004852,0.004852
54,769.79,0.90138,0.91537,0.95852,0.89802,0.90476,0.89137,0.48686,1.58923,1.13544,1.50774,0.004753,0.004753,0.004753
55,782.81,0.93551,0.89015,0.95109,0.86347,0.85714,0.86441,0.48946,1.58591,1.22822,1.4879,0.004654,0.004654,0.004654
56,795.451,0.93661,0.90547,0.95245,0.75997,0.90476,0.88689,0.47655,1.60211,1.22176,1.60109,0.004555,0.004555,0.004555
57,807.983,0.84739,0.85376,0.92624,0.86066,0.95238,0.91347,0.49288,1.58513,1.13212,1.5246,0.004456,0.004456,0.004456
58,820.398,0.87459,0.84859,0.90751,0.85749,0.90476,0.8934,0.50326,1.55118,1.0662,1.54165,0.004357,0.004357,0.004357
59,832.894,0.85331,0.85801,0.93929,0.86818,0.94122,0.93328,0.54775,1.5091,1.05576,1.51882,0.004258,0.004258,0.004258
60,845.301,0.86406,0.8493,0.93926,0.9444,0.85714,0.93935,0.53998,1.43552,1.01334,1.43601,0.004159,0.004159,0.004159
61,859.199,0.83586,0.83083,0.91223,0.89938,0.85149,0.89532,0.51231,1.52499,1.06347,1.43727,0.00406,0.00406,0.00406
62,877.688,0.90672,0.80772,0.93252,0.89938,0.85149,0.89532,0.51231,1.52499,1.06347,1.43727,0.003961,0.003961,0.003961
63,895.017,0.88188,0.7746,0.90605,0.86921,0.94953,0.93203,0.51633,1.44497,1.04065,1.39894,0.003862,0.003862,0.003862
64,910.446,0.89745,0.80793,0.94883,0.90962,0.80952,0.89663,0.52724,1.4533,1.02016,1.35364,0.003763,0.003763,0.003763
65,925.588,0.88799,0.78364,0.93092,0.77757,0.85714,0.85236,0.50579,1.49602,0.96253,1.42181,0.003664,0.003664,0.003664
66,940.571,0.83214,0.75257,0.90312,0.90475,0.90467,0.89379,0.52328,1.45624,0.95623,1.36912,0.003565,0.003565,0.003565
67,955.676,0.81516,0.77727,0.90007,0.83649,0.85714,0.86419,0.49755,1.4614,0.97828,1.32648,0.003466,0.003466,0.003466
68,972.255,0.8327,0.85434,0.9468,0.8315,0.85714,0.82477,0.51959,1.46968,0.97347,1.35924,0.003367,0.003367,0.003367
69,987.452,0.83201,0.77342,0.91442,0.83295,0.94984,0.9118,0.5083,1.46253,1.01123,1.28618,0.003268,0.003268,0.003268
