epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1127,0.94502,4.33749,0.87135,0.00439,1,0.50024,0.3222,1.2616,3.59223,1.21103,0.0003,0.0003,0.0973
2,30.3398,1.19449,2.42647,1.13375,0.00439,1,0.36864,0.19523,1.65945,3.6253,1.42834,0.0006937,0.0006937,0.0936937
3,41.1254,1.5609,1.99424,1.31035,0.00386,0.88,0.15935,0.05249,2.25156,4.03245,2.11458,0.0010802,0.0010802,0.0900802
4,51.9911,1.65755,2.29938,1.55501,0.00333,0.76,0.04948,0.02014,2.09856,3.92996,2.29903,0.0014595,0.0014595,0.0864595
5,63.1422,1.67358,1.84053,1.50878,0.32932,0.04,0.06483,0.01059,2.25981,3.90445,2.99964,0.0018316,0.0018316,0.0828316
6,73.8004,1.61964,1.76253,1.59783,0.03955,0.04,0.00624,0.00194,2.32232,8.25881,3.86271,0.0021965,0.0021965,0.0791965
7,84.462,1.52295,1.65802,1.45834,0.00281,0.64,0.0027,0.00074,2.73571,13.2353,4.91244,0.0025542,0.0025542,0.0755542
8,95.0911,1.58131,1.62879,1.50434,0.00688,0.08,0.00359,0.00108,2.6974,23.6048,5.74314,0.0029047,0.0029047,0.0719047
9,105.906,1.71722,1.62361,1.60698,0.00246,0.56,0.00204,0.00066,3.00679,205.523,14.2546,0.003248,0.003248,0.068248
10,116.588,1.89032,1.96171,1.75682,0.00841,0.04,0.00518,0.00102,2.9491,12.3975,8.51838,0.0035841,0.0035841,0.0645841
11,127.251,1.67022,1.54465,1.40211,0.00246,0.56,0.00565,0.00157,2.79726,4.47028,5.8626,0.003913,0.003913,0.060913
12,137.801,1.77229,1.8278,1.74141,0.00123,0.28,0.00183,0.00041,3.0969,4.56153,5.72154,0.0042347,0.0042347,0.0572347
13,148.667,1.5494,1.45942,1.42186,0.00035,0.08,0.0002,4e-05,3.47732,15.0662,12.5834,0.0045492,0.0045492,0.0535492
14,160.195,1.87626,1.82818,1.82226,0.0014,0.32,0.00095,0.00033,3.11826,175.582,66.5974,0.0048565,0.0048565,0.0498565
15,176.52,1.19531,1.96875,1.08878,0.0014,0.32,0.00094,0.00041,3.42793,1630.48,51.974,0.0051566,0.0051566,0.0461566
16,193.044,1.51314,1.37662,1.4653,0.00135,0.16,0.00053,0.00012,3.48121,1646.25,46.2267,0.0054495,0.0054495,0.0424495
17,209.475,1.49695,1.23331,1.46092,0.00273,0.16,0.00097,0.00016,2.96151,808.633,34.4331,0.0057352,0.0057352,0.0387352
18,225.513,1.6751,1.5745,1.44564,0.0011,0.24,0.00067,0.00015,3.10098,3617.78,30.8415,0.0060137,0.0060137,0.0350137
19,241.307,1.93925,1.72143,1.58626,0.00094,0.12,0.00053,0.00014,3.24035,6148.24,49.2168,0.006285,0.006285,0.031285
20,258.67,1.72618,1.49385,1.62758,0.00071,0.16,0.00041,0.00011,3.57124,6706.44,49.3154,0.0065491,0.0065491,0.0275491
21,271.975,1.50486,1.35442,1.42174,0.00089,0.12,0.00035,9e-05,4.24008,721.562,21.8502,0.006806,0.006806,0.023806
22,284.042,1.6814,1.56448,1.44177,0.00193,0.44,0.00147,0.00033,3.41466,118.034,4.30745,0.0070557,0.0070557,0.0200557
23,298.308,1.6217,1.31532,1.43998,0.00175,0.4,0.00144,0.00033,3.43457,21.6579,3.65514,0.0072982,0.0072982,0.0162982
24,312.57,1.41968,1.35199,1.33932,0.01208,0.16,0.00471,0.00136,3.2655,16.9123,4.3596,0.0075335,0.0075335,0.0125335
25,324.613,1.67795,1.28309,1.45025,0.07333,0.24,0.02918,0.0096,2.65768,14.2634,3.03675,0.0077616,0.0077616,0.0087616
26,336.324,1.68761,1.33731,1.62913,0.40411,0.32,0.31147,0.12453,2.49201,11.514,2.63544,0.00775,0.00775,0.00775
27,349.314,1.44659,1.21761,1.48903,0.56909,0.28,0.26726,0.08139,2.78292,10.3209,3.39022,0.00766,0.00766,0.00766
28,363.018,1.56574,1.37516,1.57619,0.24544,0.28,0.13228,0.05225,2.86467,7.63701,3.39277,0.00757,0.00757,0.00757
29,375.421,1.48096,1.49328,1.53515,0.06456,0.28,0.03813,0.01361,2.89484,6.54057,3.32099,0.00748,0.00748,0.00748
30,387.656,1.4011,1.28846,1.35796,0.02765,0.32,0.01742,0.00495,3.19994,7.775,3.93476,0.00739,0.00739,0.00739
31,399.569,1.37708,1.11184,1.3342,0.03807,0.16,0.02109,0.00762,2.79747,7.76791,3.10364,0.0073,0.0073,0.0073
32,411.629,1.06883,1.61793,1.08815,0.11046,0.28,0.1027,0.03696,2.37968,5.14969,2.51751,0.00721,0.00721,0.00721
33,424.319,1.66242,1.30127,1.43573,0.32899,0.28,0.16897,0.07614,2.08722,4.07068,2.17921,0.00712,0.00712,0.00712
34,436.378,1.13131,1.26561,1.02074,0.41355,0.52,0.35936,0.19495,1.84804,3.38718,2.0539,0.00703,0.00703,0.00703
35,448.082,1.53634,1.13952,1.4223,0.69378,0.45367,0.53851,0.26695,1.68828,3.45413,1.84139,0.00694,0.00694,0.00694
36,460.827,1.37387,1.124,1.30841,0.81949,0.64,0.79398,0.47414,1.39584,4.84379,1.50547,0.00685,0.00685,0.00685
37,472.709,1.30919,1.08202,1.37858,0.90818,0.56,0.76474,0.48394,1.37674,5.39231,1.51126,0.00676,0.00676,0.00676
38,485.045,1.29702,1.03569,1.27524,0.89843,0.6,0.76644,0.50614,1.36681,5.68064,1.49556,0.00667,0.00667,0.00667
39,497.064,1.33086,1.02719,1.33457,0.7407,0.4,0.51422,0.33317,1.62325,6.16768,1.72319,0.00658,0.00658,0.00658
40,508.217,1.03172,1.2938,1.0241,0.86412,0.4,0.44391,0.26331,1.89305,4.5377,2.10019,0.00649,0.00649,0.00649
