epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,175.67,1.62778,3.13937,1.77149,0.00197,0.59091,0.05834,0.01931,2.34136,4.75191,2.54344,0.00108,0.00036,0.00108,0.00036,0.00108,0.00036,0.00108,0.00036
2,301.141,1.40224,2.96092,1.64253,0.00223,0.67045,0.0651,0.02064,2.27688,4.63073,2.47602,0.00219802,0.000732674,0.00219802,0.000732674,0.00219802,0.000732674,0.00219802,0.000732674
3,423.773,1.20014,2.76642,1.48175,0.00235,0.70455,0.10587,0.03523,2.19392,4.45612,2.39029,0.00329347,0.00109782,0.00329347,0.00109782,0.00329347,0.00109782,0.00329347,0.00109782
4,541.21,1.2007,2.46975,1.45378,0.00494,0.53409,0.11927,0.06511,2.18302,4.36317,2.3262,0.00436635,0.00145545,0.00436635,0.00145545,0.00436635,0.00145545,0.00436635,0.00145545
5,642.674,1.09078,1.98347,1.39097,0.22315,0.09091,0.1012,0.04832,2.20377,4.04983,2.38742,0.00541666,0.00180555,0.00541666,0.00180555,0.00541666,0.00180555,0.00541666,0.00180555
6,745.072,1.10499,1.65799,1.3566,0.39513,0.21591,0.17299,0.06927,2.35978,3.94537,2.68795,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,844.202,0.99889,1.45407,1.28231,0.49932,0.26136,0.19436,0.06867,2.39053,3.91822,2.63357,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,942.782,1.04297,1.43387,1.26977,0.44482,0.30682,0.27323,0.08805,2.35954,3.60942,2.47458,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,1047.62,1.03106,1.34848,1.2642,0.36372,0.32955,0.20094,0.07132,2.47722,3.71779,2.698,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,1152.43,0.98025,1.31122,1.27061,0.33307,0.29545,0.17943,0.06806,2.50166,3.79183,2.71491,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,1268.52,0.97619,1.22193,1.2521,0.45581,0.28409,0.2126,0.09049,2.47524,3.5983,2.72044,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,1374.68,0.93128,1.12526,1.19756,0.50865,0.27273,0.24283,0.10813,2.49379,3.35803,2.72431,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,1460.42,0.94497,1.04176,1.21188,0.65673,0.32615,0.35202,0.14977,2.37153,3.17381,2.54755,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
