epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2482,1.18953,3.57428,1.3748,0.00458,1,0.19197,0.08665,1.20275,3.75414,1.23524,0.0002,0.0002,0.0982
2,26.6136,0.9226,2.60914,1.05274,0.00417,0.90909,0.33853,0.18244,1.62329,3.73352,1.5084,0.00049505,0.00049505,0.095495
3,36.2927,1.013,1.85554,1.09976,0.00417,0.90909,0.22598,0.10417,2.09931,3.66607,2.07098,0.00078416,0.00078416,0.0927842
4,46.058,1.1239,1.69887,1.20868,0.00396,0.86364,0.25971,0.10697,1.88321,3.61941,2.00056,0.00106733,0.00106733,0.0900673
5,56.1908,1.17612,1.61554,1.25778,0.00271,0.59091,0.08205,0.03239,2.45271,3.87427,2.4188,0.00134456,0.00134456,0.0873446
6,65.8872,1.34742,1.54952,1.31553,0.00693,0.54545,0.0121,0.00452,2.27683,4.0412,2.39627,0.00161585,0.00161585,0.0846159
7,75.5496,1.2427,1.44365,1.24886,0.0029,0.5,0.00372,0.00091,2.5604,5.4982,3.11052,0.0018812,0.0018812,0.0818812
8,85.1911,1.29361,1.43855,1.32284,0.00189,0.27273,0.00299,0.00057,2.87827,5.72535,3.72092,0.00214061,0.00214061,0.0791406
9,94.8336,1.36664,1.45619,1.3458,0.09952,0.04545,0.01128,0.00339,3.07482,8.27284,4.6783,0.00239408,0.00239408,0.0763941
10,104.613,1.35784,1.52699,1.31951,0.03419,0.04545,0.00653,0.00169,2.98439,10.0299,3.96783,0.00264161,0.00264161,0.0736416
11,114.551,1.30103,1.28978,1.25267,0.00186,0.13636,0.00065,0.0001,2.99382,400.207,5.19483,0.0028832,0.0028832,0.0708832
12,124.003,1.35816,1.44351,1.30966,0.00075,0.13636,0.00042,8e-05,2.89165,1447.68,4.52908,0.00311885,0.00311885,0.0681189
13,134.017,1.18214,1.44849,1.20005,0.00021,0.04545,0.00011,2e-05,3.69474,18502.7,10.7333,0.00334856,0.00334856,0.0653486
14,143.799,1.28104,1.46118,1.27028,0.00021,0.04545,0.00011,2e-05,3.10833,7683.24,7.36877,0.00357233,0.00357233,0.0625723
