epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8311,1.43544,2.72626,1.52674,0.0053,0.9,0.13812,0.0628,1.45852,2.80037,1.42499,0.001,0.001,0.091
2,23.0495,1.39095,2.64132,1.52998,0.00547,0.9,0.21726,0.10058,1.08026,2.71986,1.22506,0.00205842,0.00205842,0.0810584
3,34.2588,1.31725,2.67581,1.42679,0.00583,0.925,0.26178,0.15166,0.93779,2.69856,1.16665,0.00307328,0.00307328,0.0710733
4,43.3366,1.2116,2.57794,1.36692,0.00576,0.925,0.41144,0.26646,0.85369,2.65755,1.12997,0.00404458,0.00404458,0.0610446
5,51.1934,1.1836,2.48178,1.31326,0.00567,0.925,0.44474,0.2793,0.86408,2.65452,1.14025,0.00497232,0.00497232,0.0509723
6,59.8561,1.11492,2.40641,1.27966,0.00551,0.925,0.53831,0.3572,0.81851,2.57965,1.09995,0.0058565,0.0058565,0.0408565
7,67.8181,0.98664,2.11569,1.22007,0.8243,0.35196,0.55738,0.4169,0.84229,2.42065,1.08963,0.00669712,0.00669712,0.0306971
8,76.2644,1.06949,2.12022,1.2236,0.7427,0.525,0.5872,0.46552,0.84788,2.0423,1.07947,0.00749418,0.00749418,0.0204942
9,84.1097,1.01654,1.83986,1.19985,0.7427,0.525,0.5872,0.46552,0.84788,2.0423,1.07947,0.00824768,0.00824768,0.0102477
10,92.9305,1.09889,1.62561,1.19579,0.83627,0.55,0.62217,0.4996,0.78187,1.81306,1.03009,0.008218,0.008218,0.008218
11,101.089,1.15636,1.60791,1.22271,0.79254,0.6,0.71545,0.50523,0.89342,1.97561,1.0836,0.00802,0.00802,0.00802
12,109.024,1.21208,1.51025,1.22587,0.79254,0.6,0.71545,0.50523,0.89342,1.97561,1.0836,0.007822,0.007822,0.007822
13,117.91,1.01916,1.42465,1.16281,0.70414,0.775,0.73435,0.54011,0.8878,1.89465,1.07902,0.007624,0.007624,0.007624
14,125.554,1.06794,1.45608,1.18356,0.83784,0.8,0.80364,0.60554,0.85541,1.54557,1.0554,0.007426,0.007426,0.007426
15,133.887,1.00202,1.24342,1.14284,0.83784,0.8,0.80364,0.60554,0.85541,1.54557,1.0554,0.007228,0.007228,0.007228
16,141.509,0.86307,1.25385,1.10637,0.94288,0.82537,0.89307,0.69652,0.79551,1.61622,1.0073,0.00703,0.00703,0.00703
17,149.773,1.0538,1.34206,1.1344,0.90038,0.85,0.89008,0.70376,0.80426,1.14152,0.98837,0.006832,0.006832,0.006832
18,157.585,0.96909,1.26287,1.11095,0.88012,0.85,0.89874,0.68136,0.82343,1.18644,0.99848,0.006634,0.006634,0.006634
19,166.306,1.02207,1.34935,1.1481,0.88012,0.85,0.89874,0.68136,0.82343,1.18644,0.99848,0.006436,0.006436,0.006436
20,174.074,1.04012,1.24609,1.08921,1,0.81644,0.90261,0.69956,0.77276,1.16235,1.01478,0.006238,0.006238,0.006238
21,182.311,0.92824,1.08078,1.11686,0.9704,0.81971,0.91222,0.71935,0.7272,1.1469,0.98051,0.00604,0.00604,0.00604
22,189.688,0.94104,1.29882,1.12728,0.9704,0.81971,0.91222,0.71935,0.7272,1.1469,0.98051,0.005842,0.005842,0.005842
23,198.226,0.99601,1.29511,1.14539,0.95993,0.8,0.89491,0.75245,0.6766,1.04215,0.94791,0.005644,0.005644,0.005644
24,206.34,1.06355,1.28731,1.20288,0.94259,0.82105,0.90811,0.7605,0.67632,1.09201,0.93886,0.005446,0.005446,0.005446
25,213.621,0.93522,1.19958,1.1208,0.94259,0.82105,0.90811,0.7605,0.67632,1.09201,0.93886,0.005248,0.005248,0.005248
26,221.37,0.9687,1.11656,1.11748,0.92822,0.875,0.9357,0.77762,0.66566,1.00796,0.93202,0.00505,0.00505,0.00505
27,229.113,0.94124,1.1831,1.13738,0.89523,0.9,0.94673,0.78222,0.67178,1.00716,0.93331,0.004852,0.004852,0.004852
28,236.61,0.90514,1.07174,1.08596,0.89523,0.9,0.94673,0.78222,0.67178,1.00716,0.93331,0.004654,0.004654,0.004654
29,244.08,0.96717,1.18409,1.12971,0.90132,0.91353,0.95788,0.77809,0.71094,1.05621,0.95164,0.004456,0.004456,0.004456
30,252.227,0.84193,1.06421,1.08779,0.92034,0.95,0.98337,0.79412,0.6875,0.98145,0.94761,0.004258,0.004258,0.004258
31,260.519,0.95315,1.1211,1.1233,0.92034,0.95,0.98337,0.79412,0.6875,0.98145,0.94761,0.00406,0.00406,0.00406
32,270.598,0.85079,1.06805,1.05294,0.97038,0.95,0.991,0.79132,0.69333,0.94096,0.94906,0.003862,0.003862,0.003862
33,278.416,0.83462,1.05316,1.04922,0.99192,0.95,0.99025,0.79143,0.68846,0.9243,0.94631,0.003664,0.003664,0.003664
34,286.425,0.89889,1.1271,1.13217,0.99364,0.95,0.99203,0.8006,0.72207,0.91602,0.97428,0.003466,0.003466,0.003466
35,293.555,0.96353,1.08543,1.13355,0.99364,0.95,0.99203,0.8006,0.72207,0.91602,0.97428,0.003268,0.003268,0.003268
36,302.033,0.76855,1.05431,1.10592,0.96912,0.975,0.9883,0.79622,0.72877,0.9223,0.96283,0.00307,0.00307,0.00307
37,310.001,0.83134,0.99917,1.05211,0.97494,0.97247,0.99092,0.81141,0.6885,0.90427,0.93348,0.002872,0.002872,0.002872
38,318.978,0.85265,1.08064,1.09187,0.97494,0.97247,0.99092,0.81141,0.6885,0.90427,0.93348,0.002674,0.002674,0.002674
39,327.593,0.79913,0.97569,1.07026,0.99859,0.95,0.99056,0.81564,0.67886,0.87699,0.92406,0.002476,0.002476,0.002476
40,335.225,0.88917,0.9635,1.07305,0.96918,0.975,0.99039,0.81895,0.65349,0.84864,0.9057,0.002278,0.002278,0.002278
41,343.564,0.78609,1.23512,1.03719,0.96918,0.975,0.99039,0.81895,0.65349,0.84864,0.9057,0.00208,0.00208,0.00208
42,351.847,0.78257,1.30778,1.02366,0.9508,0.975,0.99153,0.82065,0.66097,0.85539,0.90679,0.001882,0.001882,0.001882
43,360.63,0.77521,1.16344,1.00014,0.97028,0.975,0.99008,0.82761,0.64953,0.86237,0.90432,0.001684,0.001684,0.001684
44,368.226,0.6919,1.21335,1.01051,0.97028,0.975,0.99008,0.82761,0.64953,0.86237,0.90432,0.001486,0.001486,0.001486
45,377.204,0.74301,1.36127,1.06535,0.96988,0.975,0.98779,0.81287,0.64769,0.87361,0.90476,0.001288,0.001288,0.001288
46,384.559,0.76356,1.23505,1.01569,0.9694,0.975,0.98708,0.81038,0.64953,0.8872,0.90733,0.00109,0.00109,0.00109
47,392.599,0.7289,1.15278,0.98944,0.9694,0.975,0.98708,0.81038,0.64953,0.8872,0.90733,0.000892,0.000892,0.000892
48,400.745,0.66078,1.08145,0.99636,1,0.94405,0.98695,0.81978,0.65129,0.90061,0.91079,0.000694,0.000694,0.000694
49,409.575,0.70501,1.08448,0.99966,1,0.94552,0.98656,0.80775,0.65001,0.90996,0.90939,0.000496,0.000496,0.000496
50,418.314,0.70069,1.19384,1.04526,1,0.94411,0.98656,0.80782,0.64807,0.90563,0.90787,0.000298,0.000298,0.000298
