epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90498,1.78851,2.84233,1.8864,0.00344,1,0.16734,0.04814,1.73195,3.03466,1.56376,0.0015,0.0015,0.0865
2,15.3918,1.4326,2.66835,1.54444,0.00352,1,0.22878,0.10604,1.17178,2.80975,1.34855,0.00303862,0.00303862,0.0720386
3,23.6048,1.21846,2.63206,1.43894,0.00356,1,0.38879,0.20421,0.98854,2.71925,1.22647,0.00451388,0.00451388,0.0575139
4,33.7824,1.1117,2.35379,1.32044,0.00362,1,0.77147,0.41312,0.92359,2.52981,1.16029,0.00592578,0.00592578,0.0429258
5,43.9377,1.07661,2.1245,1.31208,0.75006,0.62522,0.79395,0.45326,1.01065,2.14267,1.20955,0.00727432,0.00727432,0.0282743
6,54.013,1.13998,1.94358,1.29954,0.70284,0.79167,0.80386,0.51016,1.00987,1.68392,1.12463,0.0085595,0.0085595,0.0135595
7,64.4004,1.08999,1.64243,1.21941,0.8331,0.875,0.87564,0.58824,1.06391,1.55986,1.15733,0.008812,0.008812,0.008812
8,74.9304,1.08232,1.51323,1.24964,0.91236,0.86781,0.92996,0.64631,1.00208,1.3146,1.14639,0.008614,0.008614,0.008614
9,84.7621,1.22228,1.56833,1.30321,0.87581,0.66667,0.78076,0.57062,0.97971,1.47423,1.19409,0.008416,0.008416,0.008416
10,95.2273,1.19664,1.47712,1.31972,0.93049,0.625,0.76003,0.54685,1.06358,1.54301,1.21532,0.008218,0.008218,0.008218
11,107.327,1.1191,1.35966,1.22742,0.83262,0.625,0.76208,0.4909,1.26585,1.55112,1.33518,0.00802,0.00802,0.00802
12,121.626,1.03641,1.33638,1.18267,0.82516,0.59028,0.719,0.46303,1.20098,1.62912,1.31815,0.007822,0.007822,0.007822
13,135.248,1.00408,1.49039,1.16528,0.82621,0.875,0.85643,0.61512,0.92682,1.36459,1.1519,0.007624,0.007624,0.007624
14,148.28,1.01746,1.30963,1.19655,0.80681,0.87024,0.87321,0.66515,0.72313,1.24581,1.01287,0.007426,0.007426,0.007426
15,161.663,1.0245,1.39091,1.18083,0.8477,0.95833,0.95043,0.73138,0.76047,1.04398,1.04705,0.007228,0.007228,0.007228
16,175.455,1.06951,1.33692,1.17405,0.91953,0.95251,0.96231,0.76853,0.71303,1.12291,1.04264,0.00703,0.00703,0.00703
17,189.282,0.95536,1.23784,1.1326,0.99981,0.91667,0.95327,0.7485,0.77874,1.05277,1.06966,0.006832,0.006832,0.006832
18,203.928,0.90568,1.2661,1.10827,0.99403,0.91667,0.95212,0.7717,0.67121,1.14743,0.99625,0.006634,0.006634,0.006634
19,217.664,0.90549,1.12478,1.1153,1,0.91088,0.95584,0.7914,0.67334,1.0698,0.99914,0.006436,0.006436,0.006436
20,229.355,0.97305,1.20617,1.14075,0.9738,0.95833,0.96268,0.76081,0.74417,1.03527,1.03632,0.006238,0.006238,0.006238
21,241.733,0.86402,1.12456,1.09725,0.99241,0.95833,0.96555,0.81285,0.66403,0.95892,1.00445,0.00604,0.00604,0.00604
22,253.777,0.85505,1.09945,1.07073,1,0.9503,0.99056,0.82363,0.64979,0.91256,0.96035,0.005842,0.005842,0.005842
23,265.749,0.80246,1.08148,1.03469,1,0.94126,0.99192,0.84321,0.62876,0.84696,0.96503,0.005644,0.005644,0.005644
24,277.733,0.88771,1.14033,1.11276,0.9941,1,0.995,0.82831,0.64296,0.89021,0.96688,0.005446,0.005446,0.005446
25,289.612,0.8764,1.0343,1.12085,1,0.99279,0.995,0.81598,0.61904,0.85523,0.94853,0.005248,0.005248,0.005248
26,301.426,0.84635,1.02307,1.08203,0.99879,1,0.995,0.87283,0.56725,0.8057,0.93217,0.00505,0.00505,0.00505
27,313.087,0.82849,1.01271,1.10744,0.99949,1,0.995,0.86188,0.60116,0.79868,0.92535,0.004852,0.004852,0.004852
28,325.509,0.77305,0.99437,1.04108,0.99592,0.95833,0.9934,0.82891,0.62173,0.85842,0.92933,0.004654,0.004654,0.004654
29,337.302,0.86699,1.00872,1.11843,0.99992,1,0.995,0.82911,0.60702,0.8281,0.9165,0.004456,0.004456,0.004456
30,348.909,0.871,1.04439,1.14126,0.99985,1,0.995,0.84671,0.56873,0.83018,0.91435,0.004258,0.004258,0.004258
31,360.173,0.85691,0.98576,1.12595,0.99704,1,0.995,0.87284,0.566,0.80508,0.93022,0.00406,0.00406,0.00406
32,372.759,0.8726,0.94593,1.0952,0.99707,1,0.995,0.86742,0.58092,0.76171,0.92335,0.003862,0.003862,0.003862
33,386.91,0.86604,0.99704,1.12099,0.99703,1,0.995,0.85614,0.58731,0.72229,0.92966,0.003664,0.003664,0.003664
34,399.655,0.74813,0.94202,1.03047,0.99719,1,0.995,0.85445,0.58972,0.72946,0.92179,0.003466,0.003466,0.003466
35,413.164,0.76576,0.90521,1.07435,0.99729,1,0.995,0.88286,0.49606,0.70573,0.89967,0.003268,0.003268,0.003268
36,428.903,0.72092,0.85778,1.06295,0.99729,1,0.995,0.88534,0.48552,0.70548,0.89355,0.00307,0.00307,0.00307
37,445.481,0.79023,0.94417,1.07387,0.99715,1,0.995,0.89218,0.47421,0.70439,0.88866,0.002872,0.002872,0.002872
38,463.804,0.76262,0.89203,1.0535,0.99724,1,0.995,0.88845,0.48295,0.70024,0.89318,0.002674,0.002674,0.002674
39,480.639,0.68794,0.79264,1.03481,0.99708,1,0.995,0.8771,0.46165,0.68626,0.8893,0.002476,0.002476,0.002476
40,497.998,0.67504,0.88264,1.04323,0.99717,1,0.995,0.88348,0.46474,0.70394,0.88167,0.002278,0.002278,0.002278
41,514.808,0.54189,0.97227,0.8941,0.99675,1,0.995,0.88718,0.45204,0.6927,0.87783,0.00208,0.00208,0.00208
42,530.969,0.51971,0.90392,0.88395,0.9958,1,0.995,0.88778,0.48145,0.7119,0.89796,0.001882,0.001882,0.001882
43,548.165,0.5318,0.82823,0.85929,0.99563,1,0.995,0.88855,0.51698,0.72361,0.91265,0.001684,0.001684,0.001684
44,565.658,0.50501,0.83936,0.95032,0.99633,1,0.995,0.89617,0.49887,0.72412,0.91204,0.001486,0.001486,0.001486
45,581.987,0.45842,0.78655,0.9032,0.99677,1,0.995,0.89718,0.51578,0.73344,0.92251,0.001288,0.001288,0.001288
46,597.839,0.451,0.79723,0.85377,0.99705,1,0.995,0.89228,0.48636,0.70461,0.91379,0.00109,0.00109,0.00109
47,614.915,0.4661,0.75091,0.88251,0.99744,1,0.995,0.9054,0.47698,0.69732,0.90947,0.000892,0.000892,0.000892
48,631.783,0.49943,0.78944,0.87951,0.99773,1,0.995,0.90608,0.47366,0.69196,0.90371,0.000694,0.000694,0.000694
49,647.414,0.47834,0.79638,0.89908,0.99766,1,0.995,0.90526,0.47543,0.68771,0.89691,0.000496,0.000496,0.000496
50,663.382,0.47495,0.80295,0.87036,0.99771,1,0.995,0.90567,0.4668,0.67331,0.89698,0.000298,0.000298,0.000298
