epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,94.492,1.48761,3.6212,1.20745,0.00405,0.21795,0.00342,0.00179,1.40207,3.67353,1.19931,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012
2,190.309,1.34757,3.44984,1.16138,0.00488,0.26282,0.00634,0.00363,1.26656,3.57876,1.10968,0.000772278,0.000257426,0.000772278,0.000257426,0.000772278,0.000257426,0.000772278,0.000257426
3,267.987,1.2892,3.35486,1.0994,0.00595,0.32051,0.01214,0.00933,1.11357,3.4543,1.00957,0.00117624,0.00039208,0.00117624,0.00039208,0.00117624,0.00039208,0.00117624,0.00039208
4,333.273,1.27085,3.18291,1.05451,0.00726,0.39103,0.01755,0.01416,1.04934,3.38982,0.97125,0.00157189,0.000523962,0.00157189,0.000523962,0.00157189,0.000523962,0.00157189,0.000523962
5,402.821,1.23148,2.85219,1.03773,0.00952,0.51282,0.04693,0.03778,1.00838,3.31902,0.93301,0.00195922,0.000653072,0.00195922,0.000653072,0.00195922,0.000653072,0.00195922,0.000653072
6,456.74,1.20521,2.41333,1.02847,0.01095,0.58974,0.06243,0.0494,1.00678,3.24613,0.92422,0.00233823,0.00077941,0.00233823,0.00077941,0.00233823,0.00077941,0.00233823,0.00077941
7,512.585,1.2081,1.8947,1.04385,0.01286,0.69231,0.0845,0.06463,1.04794,3.08737,0.95883,0.00270893,0.000902976,0.00270893,0.000902976,0.00270893,0.000902976,0.00270893,0.000902976
8,558.015,1.18698,1.61857,1.00834,0.01333,0.71795,0.14526,0.10993,1.03845,2.9828,0.95236,0.00307131,0.00102377,0.00307131,0.00102377,0.00307131,0.00102377,0.00307131,0.00102377
9,613.63,1.12858,1.59507,0.98141,0.0144,0.77564,0.20002,0.1413,1.03901,2.92094,0.9504,0.00342538,0.00114179,0.00342538,0.00114179,0.00342538,0.00114179,0.00342538,0.00114179
10,656.917,1.09744,1.38529,0.99337,1,0.0535,0.27659,0.19088,1.04408,2.82519,0.94948,0.00377113,0.00125704,0.00377113,0.00125704,0.00377113,0.00125704,0.00377113,0.00125704
11,697.74,1.16254,1.34237,0.99398,1,0.06661,0.41727,0.28342,1.02888,2.65308,0.9607,0.00410856,0.00136952,0.00410856,0.00136952,0.00410856,0.00136952,0.00410856,0.00136952
12,752.084,1.07147,1.1348,0.96078,0.91702,0.42504,0.63207,0.44282,1.01818,2.18338,0.9537,0.00443768,0.00147923,0.00443768,0.00147923,0.00443768,0.00147923,0.00443768,0.00147923
13,787.811,1.05549,1.14579,0.94733,0.86413,0.44848,0.63378,0.44534,1.01098,2.0782,0.9511,0.00475848,0.00158616,0.00475848,0.00158616,0.00475848,0.00158616,0.00475848,0.00158616
14,828.239,1.05245,1.17182,0.96402,0.77359,0.53205,0.64878,0.46578,1.04059,1.87878,0.95061,0.00507097,0.00169032,0.00507097,0.00169032,0.00507097,0.00169032,0.00507097,0.00169032
15,873.656,1.07106,1.08219,0.96341,0.76024,0.56914,0.65897,0.48496,1.04454,1.69324,0.95351,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,915.309,1.02393,1.01468,0.92053,0.80715,0.59615,0.68921,0.52499,1.01056,1.45998,0.94631,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,950.711,1.02707,0.95476,0.95139,0.83557,0.58636,0.70365,0.53029,1.01272,1.38686,0.94449,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,988.552,0.985,0.9132,0.89938,0.88972,0.64103,0.74687,0.5677,0.96863,1.24038,0.93092,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,1025.84,1.03035,0.94381,0.90553,0.79878,0.69231,0.75227,0.56129,0.97693,1.22283,0.9295,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,1060.23,1.02077,0.96017,0.91365,0.79969,0.70513,0.77664,0.58969,0.94042,1.13676,0.92031,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,1090.35,1.00399,0.94685,0.90578,0.82387,0.69231,0.78738,0.58256,0.97616,1.12341,0.93447,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,1124.79,0.98242,0.88883,0.91422,0.95282,0.64722,0.80686,0.60698,0.95899,1.07853,0.93141,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,1162.15,1.01009,0.89142,0.91161,0.92249,0.67949,0.82263,0.60914,0.97058,1.05848,0.9352,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,1201.1,0.98211,0.84069,0.89075,0.85858,0.73943,0.82608,0.6017,0.99053,1.02622,0.93284,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,1233.78,0.94588,0.84443,0.90709,0.86282,0.72574,0.82629,0.59655,0.99791,1.02557,0.93526,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,1271.95,0.98214,0.82913,0.88027,0.85613,0.73718,0.82339,0.61702,0.93853,1.01133,0.91499,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,1315.12,0.92961,0.82283,0.88118,0.88071,0.75726,0.8296,0.61501,0.92958,0.9872,0.90853,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,1359.42,0.88981,0.78192,0.88602,0.85519,0.76282,0.82721,0.6096,0.95726,0.98261,0.91762,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,1395.12,0.90418,0.76599,0.89877,0.85516,0.75693,0.8257,0.61138,0.94015,0.96383,0.91407,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,1433.38,0.9302,0.78312,0.88538,0.84273,0.75641,0.82777,0.61569,0.94312,0.95744,0.91261,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
